Epoch: 1/300  Train Loss: 2.1257  Train Acc: 24.26%  Val Loss: 1.5552  Val Acc: 41.79%  Best: 41.79%  Time: 14.5s
Epoch: 2/300  Train Loss: 1.6772  Train Acc: 38.96%  Val Loss: 1.3361  Val Acc: 53.56%  Best: 53.56%  Time: 12.8s
Epoch: 3/300  Train Loss: 1.4373  Train Acc: 48.25%  Val Loss: 1.1838  Val Acc: 58.02%  Best: 58.02%  Time: 12.5s
Epoch: 4/300  Train Loss: 1.2802  Train Acc: 54.32%  Val Loss: 0.9942  Val Acc: 64.70%  Best: 64.70%  Time: 12.9s
Epoch: 5/300  Train Loss: 1.1688  Train Acc: 58.80%  Val Loss: 0.7560  Val Acc: 73.59%  Best: 73.59%  Time: 12.8s
Epoch: 6/300  Train Loss: 1.0808  Train Acc: 62.08%  Val Loss: 0.7646  Val Acc: 73.06%  Best: 73.59%  Time: 12.7s
Epoch: 7/300  Train Loss: 1.0081  Train Acc: 64.44%  Val Loss: 0.7350  Val Acc: 75.29%  Best: 75.29%  Time: 12.7s
Epoch: 8/300  Train Loss: 0.9622  Train Acc: 66.35%  Val Loss: 0.6278  Val Acc: 78.58%  Best: 78.58%  Time: 13.0s
Epoch: 9/300  Train Loss: 0.9162  Train Acc: 68.11%  Val Loss: 0.5705  Val Acc: 80.30%  Best: 80.30%  Time: 12.4s
Epoch: 10/300  Train Loss: 0.8929  Train Acc: 68.81%  Val Loss: 0.6136  Val Acc: 79.09%  Best: 80.30%  Time: 13.3s
Epoch: 11/300  Train Loss: 0.8524  Train Acc: 70.22%  Val Loss: 0.5516  Val Acc: 81.15%  Best: 81.15%  Time: 12.8s
Epoch: 12/300  Train Loss: 0.8349  Train Acc: 70.80%  Val Loss: 0.5561  Val Acc: 81.22%  Best: 81.22%  Time: 13.1s
Epoch: 13/300  Train Loss: 0.8072  Train Acc: 71.63%  Val Loss: 0.4922  Val Acc: 83.25%  Best: 83.25%  Time: 12.8s
Epoch: 14/300  Train Loss: 0.7925  Train Acc: 72.38%  Val Loss: 0.5288  Val Acc: 82.34%  Best: 83.25%  Time: 12.7s
Epoch: 15/300  Train Loss: 0.7750  Train Acc: 73.01%  Val Loss: 0.4747  Val Acc: 83.90%  Best: 83.90%  Time: 12.6s
Epoch: 16/300  Train Loss: 0.7548  Train Acc: 73.60%  Val Loss: 0.4884  Val Acc: 83.33%  Best: 83.90%  Time: 12.7s
Epoch: 17/300  Train Loss: 0.7425  Train Acc: 74.06%  Val Loss: 0.4706  Val Acc: 83.94%  Best: 83.94%  Time: 12.6s
Epoch: 18/300  Train Loss: 0.7258  Train Acc: 74.80%  Val Loss: 0.4828  Val Acc: 83.85%  Best: 83.94%  Time: 13.3s
Epoch: 19/300  Train Loss: 0.7149  Train Acc: 74.93%  Val Loss: 0.4071  Val Acc: 85.96%  Best: 85.96%  Time: 13.1s
Epoch: 20/300  Train Loss: 0.7049  Train Acc: 75.56%  Val Loss: 0.3801  Val Acc: 87.14%  Best: 87.14%  Time: 13.0s
Epoch: 21/300  Train Loss: 0.6870  Train Acc: 76.07%  Val Loss: 0.4123  Val Acc: 85.99%  Best: 87.14%  Time: 13.0s
Epoch: 22/300  Train Loss: 0.6810  Train Acc: 76.34%  Val Loss: 0.4487  Val Acc: 85.10%  Best: 87.14%  Time: 13.0s
