Epoch: 1/200  Train Loss: 1.8213  Train Acc: 36.22%  Val Loss: 1.3964  Val Acc: 48.81%  Best: 48.81%  Time: 13.5s
Epoch: 2/200  Train Loss: 1.2481  Train Acc: 55.03%  Val Loss: 1.1121  Val Acc: 60.32%  Best: 60.32%  Time: 11.8s
Epoch: 3/200  Train Loss: 0.9677  Train Acc: 66.00%  Val Loss: 0.9187  Val Acc: 68.94%  Best: 68.94%  Time: 11.6s
Epoch: 4/200  Train Loss: 0.7739  Train Acc: 73.16%  Val Loss: 0.7067  Val Acc: 75.91%  Best: 75.91%  Time: 11.6s
Epoch: 5/200  Train Loss: 0.6597  Train Acc: 77.20%  Val Loss: 0.6287  Val Acc: 78.23%  Best: 78.23%  Time: 12.0s
Epoch: 6/200  Train Loss: 0.5785  Train Acc: 80.15%  Val Loss: 0.6569  Val Acc: 77.54%  Best: 78.23%  Time: 11.6s
Epoch: 7/200  Train Loss: 0.5240  Train Acc: 82.05%  Val Loss: 0.5414  Val Acc: 81.84%  Best: 81.84%  Time: 11.8s
Epoch: 8/200  Train Loss: 0.4876  Train Acc: 83.26%  Val Loss: 0.5269  Val Acc: 82.03%  Best: 82.03%  Time: 11.7s
Epoch: 9/200  Train Loss: 0.4575  Train Acc: 84.21%  Val Loss: 0.5295  Val Acc: 81.57%  Best: 82.03%  Time: 11.7s
Epoch: 10/200  Train Loss: 0.4235  Train Acc: 85.42%  Val Loss: 0.4842  Val Acc: 84.00%  Best: 84.00%  Time: 12.1s
Epoch: 11/200  Train Loss: 0.3955  Train Acc: 86.19%  Val Loss: 0.4221  Val Acc: 86.23%  Best: 86.23%  Time: 11.9s
Epoch: 12/200  Train Loss: 0.3686  Train Acc: 87.25%  Val Loss: 0.4189  Val Acc: 85.96%  Best: 86.23%  Time: 11.7s
Epoch: 13/200  Train Loss: 0.3553  Train Acc: 87.79%  Val Loss: 0.4280  Val Acc: 85.52%  Best: 86.23%  Time: 11.6s
Epoch: 14/200  Train Loss: 0.3378  Train Acc: 88.25%  Val Loss: 0.4269  Val Acc: 85.88%  Best: 86.23%  Time: 11.7s
Epoch: 15/200  Train Loss: 0.3235  Train Acc: 88.82%  Val Loss: 0.4722  Val Acc: 84.50%  Best: 86.23%  Time: 11.7s
